time,x,y,speed,yaw_rate,lat_g,long_g,steering_angle,slip_ratio,distance
1.200,43.357,-8.201,138.390,-0.610,-0.001,-0.006,0.220,-0.200,43.820
1.220,44.123,-8.338,139.150,-0.190,0.056,0.280,-0.180,-0.230,44.600
1.240,44.882,-8.474,138.090,0.060,-0.003,-0.042,0.580,0.250,45.360
1.260,45.642,-8.611,138.270,0.530,-0.089,0.303,-0.540,0.270,46.130
1.280,46.421,-8.748,141.600,-0.070,0.063,0.261,0.310,0.140,46.920
1.300,47.206,-8.885,142.730,0.490,-0.045,0.262,0.300,0.360,47.710
1.320,47.981,-9.021,140.910,0.060,-0.033,-0.052,-0.150,-0.350,48.490
1.340,48.767,-9.158,142.840,-1.980,-0.030,0.287,0.160,0.500,49.290
1.360,49.550,-9.295,142.200,-0.940,0.069,-0.017,-0.630,0.460,50.080
1.380,50.325,-9.431,141.010,-0.140,-0.107,-0.069,0.460,0.220,50.860
1.400,51.111,-9.568,142.840,-1.210,0.157,0.210,-0.090,0.530,51.650
1.420,51.908,-9.705,144.920,0.600,0.053,0.244,-0.260,-0.500,52.460
1.440,52.694,-9.841,142.880,1.530,0.011,-0.074,0.520,-0.160,53.250
1.460,53.495,-9.978,145.600,1.220,-0.003,0.248,-0.350,-0.220,54.060
1.480,54.263,-10.115,139.640,-0.210,0.014,-0.013,-0.700,0.220,54.840
1.500,55.062,-10.251,145.120,1.490,0.026,0.236,-0.780,-0.320,55.640
1.520,55.856,-10.388,144.330,0.150,0.032,-0.051,0.300,0.230,56.450
1.540,56.648,-10.525,144.070,-0.340,0.028,-0.048,-0.640,0.410,57.250
1.560,57.446,-10.661,144.980,-0.610,0.004,0.275,0.880,0.210,58.050
1.580,58.228,-10.798,142.180,-0.300,-0.010,-0.117,-1.040,0.090,58.840
1.600,59.027,-10.935,145.150,-0.390,-0.008,0.232,0.850,-0.300,59.650
1.620,59.832,-11.071,146.330,0.170,-0.010,0.256,0.110,-0.250,60.460
1.640,60.648,-11.208,148.330,0.160,0.057,0.286,-0.050,0.370,61.290
1.660,61.450,-11.345,145.660,0.000,0.030,-0.065,-0.270,0.230,62.090
1.680,62.251,-11.482,145.540,0.440,-0.147,-0.106,0.200,-0.010,62.900
1.700,63.056,-11.618,146.320,1.190,0.033,0.269,-0.020,-0.130,63.720
1.720,63.874,-11.755,148.760,0.950,0.010,0.231,0.550,-0.610,64.540
1.740,64.690,-11.892,148.200,-1.480,-0.001,-0.086,0.060,-0.320,65.370
1.760,65.500,-12.028,147.230,-2.550,-0.019,-0.069,0.080,0.570,66.180
1.780,66.321,-12.165,149.110,0.930,0.056,0.244,-0.180,-0.380,67.010
1.800,67.140,-12.302,148.810,-1.370,0.047,-0.068,-0.030,0.060,67.840
1.820,67.968,-12.438,150.430,-0.220,-0.039,0.184,0.150,0.300,68.670
1.840,68.784,-12.575,148.250,-1.170,0.020,-0.023,-0.860,-0.380,69.500
1.860,69.604,-12.712,149.130,-1.800,-0.049,0.288,-0.670,0.060,70.330
1.880,70.426,-12.848,149.350,0.540,-0.069,0.270,0.370,0.280,71.160
1.900,71.241,-12.985,148.060,0.760,-0.031,-0.084,0.090,0.000,71.980
1.920,72.072,-13.122,151.020,-0.580,0.043,0.244,-0.090,0.860,72.820
1.940,72.905,-13.258,151.280,-2.590,0.048,0.250,0.010,-0.500,73.660
1.960,73.737,-13.395,151.220,-0.550,0.026,-0.032,0.170,0.320,74.500
1.980,74.569,-13.532,151.180,0.390,0.036,-0.030,-0.270,-0.050,75.340
2.000,75.393,-13.669,149.720,-1.480,0.026,-0.072,-0.390,0.230,76.170
2.020,76.227,-13.805,151.530,0.180,-0.032,0.252,0.100,0.130,77.010
2.040,77.064,-13.942,151.970,-0.020,0.022,0.264,-0.490,-0.220,77.860
2.060,77.898,-14.079,151.600,0.580,0.040,-0.006,0.200,0.070,78.700
2.080,78.740,-14.215,152.880,0.120,0.038,0.271,-0.850,-0.560,79.550
2.100,79.588,-14.352,154.050,-0.970,0.059,0.274,0.510,0.180,80.400
2.120,80.450,-14.489,156.590,1.200,0.035,0.253,0.240,0.090,81.270
2.140,81.300,-14.625,154.340,-0.160,0.018,-0.008,0.130,0.190,82.130
2.160,82.152,-14.762,154.780,-0.030,0.054,0.262,0.490,0.320,82.990
2.180,83.003,-14.899,154.600,-0.930,-0.001,-0.076,0.830,0.110,83.850
2.200,83.841,-15.035,152.150,-0.440,-0.044,-0.008,0.510,0.040,84.690
2.220,84.696,-15.172,155.310,-0.880,-0.008,0.271,-0.920,-0.260,85.560
2.240,85.553,-15.309,155.760,-0.170,-0.037,0.237,-0.640,-0.210,86.420
2.260,86.433,-15.445,159.680,1.710,-0.034,0.236,-0.310,0.360,87.310
2.280,87.292,-15.582,156.020,-1.370,-0.007,-0.041,0.010,0.430,88.180
2.300,88.157,-15.719,157.080,-1.610,-0.040,0.264,0.260,-0.070,89.050
2.320,89.020,-15.855,156.890,1.470,-0.015,-0.044,-0.360,0.010,89.920
2.340,89.877,-15.992,155.510,-0.210,-0.095,-0.041,0.090,-0.270,90.790
2.360,90.754,-16.129,159.290,-0.670,0.011,0.301,-0.380,0.350,91.670
2.380,91.629,-16.266,159.030,1.040,0.000,-0.018,-0.310,0.200,92.550
2.400,92.507,-16.402,159.400,-0.610,-0.041,0.256,-0.700,0.580,93.440
2.420,93.373,-16.539,157.170,1.830,0.033,-0.022,-0.460,-0.260,94.310
2.440,94.259,-16.676,160.960,0.680,0.047,0.219,-0.680,-0.110,95.210
2.460,95.124,-16.812,157.070,-0.490,-0.080,-0.038,-0.490,0.070,96.080
2.480,96.007,-16.949,160.370,2.160,-0.038,0.304,0.530,0.190,96.970
2.500,96.905,-17.086,163.090,-0.610,-0.038,0.243,-0.470,-0.060,97.880
2.520,97.779,-17.222,158.640,0.740,-0.047,-0.075,1.320,-0.260,98.760
2.540,98.658,-17.359,159.600,0.300,0.041,0.230,0.250,0.260,99.640
2.560,99.544,-17.496,160.910,1.300,-0.010,0.217,0.090,0.220,100.540
2.580,100.427,-17.632,160.330,1.560,-0.013,-0.074,-0.430,-0.270,101.430
2.600,101.303,-17.769,159.080,0.030,-0.100,-0.061,0.350,0.410,102.310
2.620,102.194,-17.906,161.820,-0.750,0.032,0.208,-0.290,0.350,103.210
2.640,103.078,-18.042,160.440,0.460,-0.062,-0.050,0.060,0.040,104.100
2.660,103.976,-18.179,163.070,-0.680,0.003,0.277,1.280,0.020,105.010
2.680,104.864,-18.316,161.300,2.010,0.014,-0.077,-0.050,0.170,105.900
2.700,105.775,-18.452,165.320,0.140,0.068,0.296,0.570,-0.260,106.820
2.720,106.668,-18.589,162.140,-0.370,-0.065,-0.035,-0.350,0.010,107.720
2.740,107.567,-18.726,163.150,0.180,-0.151,0.281,-0.020,-0.650,108.630
2.760,108.477,-18.863,165.170,-1.350,0.009,0.230,0.890,0.260,109.550
2.780,109.371,-18.999,162.420,-0.970,0.090,-0.024,-0.310,-0.470,110.450
2.800,110.280,-19.136,164.930,1.200,0.062,0.217,0.910,0.450,111.370
2.820,111.199,-19.273,166.870,-0.660,0.010,0.277,0.350,-0.100,112.290
2.840,112.096,-19.409,162.810,-1.050,-0.025,-0.045,-0.280,-0.060,113.200
2.860,113.009,-19.546,165.820,0.540,0.040,0.267,0.320,-0.190,114.120
2.880,113.925,-19.683,166.250,1.190,-0.049,0.215,0.490,-0.090,115.040
2.900,114.847,-19.819,167.350,0.720,0.024,0.223,0.310,0.430,115.970
2.920,115.754,-19.956,164.640,1.000,0.025,-0.032,-0.790,-0.750,116.890
2.940,116.662,-20.093,164.830,-0.760,0.053,0.222,-0.360,0.380,117.800
2.960,117.587,-20.229,167.920,-1.420,0.138,0.264,-0.120,0.100,118.740
2.980,118.512,-20.366,167.900,1.500,0.020,-0.091,-0.040,-0.360,119.670
3.000,119.438,-20.503,168.150,-0.320,-0.025,0.275,0.310,-0.320,120.600
3.020,120.367,-20.639,168.610,-0.250,-0.001,0.213,0.090,0.500,121.540
3.040,121.289,-20.776,167.390,1.330,-0.088,-0.033,-0.670,-0.280,122.470
3.060,122.221,-20.913,169.070,0.560,-0.035,0.269,0.190,-0.350,123.410
3.080,123.155,-21.050,169.480,0.460,-0.020,0.229,0.310,0.340,124.350
3.100,124.082,-21.186,168.290,2.170,-0.026,-0.033,0.280,0.100,125.290
3.120,125.032,-21.323,172.480,-0.640,0.008,0.258,0.540,-0.280,126.240
3.140,125.973,-21.460,170.710,0.930,-0.041,-0.066,0.420,0.060,127.190
3.160,126.902,-21.596,168.530,0.060,0.056,-0.080,0.230,-0.310,128.130
3.180,127.847,-21.733,171.620,0.270,0.000,0.191,-0.040,0.330,129.080
3.200,128.781,-21.870,169.490,1.530,-0.000,-0.040,-0.830,0.320,130.020
3.220,129.731,-22.006,172.450,0.510,-0.016,0.203,0.210,0.160,130.980
3.240,130.687,-22.143,173.330,0.540,0.008,0.253,0.100,0.110,131.940
3.260,131.627,-22.280,170.680,1.070,0.041,-0.058,0.140,0.530,132.890
3.280,132.584,-22.416,173.670,-0.360,-0.043,0.270,-0.640,-0.000,133.860
3.300,133.538,-22.553,173.170,-0.840,-0.033,-0.059,-0.540,-0.350,134.820
3.320,134.498,-22.690,174.100,-1.040,-0.015,0.240,0.530,0.130,135.790
3.340,135.468,-22.826,176.030,-1.970,-0.067,0.272,-0.020,0.630,136.760
3.360,136.422,-22.963,173.140,2.060,-0.041,-0.040,0.340,-0.300,137.730
3.380,137.374,-23.100,172.690,-1.100,-0.024,-0.041,0.010,-0.110,138.690
3.400,138.326,-23.236,172.810,-0.220,0.044,0.264,0.010,0.120,139.650
3.420,139.281,-23.373,173.230,-0.280,0.013,0.204,0.470,-0.020,140.610
3.440,140.243,-23.510,174.660,0.310,0.010,0.273,-0.260,-0.290,141.580
3.460,141.211,-23.647,175.610,0.820,0.043,0.268,0.050,0.340,142.550
3.480,142.180,-23.783,175.830,0.860,-0.007,0.219,-0.230,0.700,143.530
3.500,143.156,-23.920,176.970,-0.580,0.020,0.243,-0.220,0.060,144.510
3.520,144.126,-24.057,176.070,-0.170,-0.005,-0.051,-0.150,-0.270,145.490
3.540,145.110,-24.193,178.550,0.280,0.013,0.246,0.110,-0.460,146.480
3.560,146.082,-24.330,176.290,-0.250,-0.029,-0.040,-0.240,0.080,147.460
3.580,147.080,-24.467,181.090,1.610,-0.122,0.293,0.630,0.330,148.470
3.600,148.063,-24.603,178.260,0.490,-0.007,-0.018,-0.450,0.140,149.460
3.620,149.035,-24.740,176.360,0.730,0.071,-0.089,-0.090,-0.000,150.440
3.640,150.007,-24.877,176.360,0.660,0.046,-0.031,-0.220,-0.180,151.420
3.660,150.993,-25.013,179.000,1.170,0.048,0.290,0.720,-0.330,152.410
3.680,151.976,-25.150,178.260,0.180,0.062,-0.038,0.100,0.250,153.400
3.700,152.968,-25.287,179.990,-1.300,0.004,0.283,0.520,0.270,154.400
3.720,153.960,-25.423,179.950,0.400,0.010,0.010,-0.740,-0.460,155.400
3.740,154.949,-25.560,179.440,-0.650,-0.031,-0.019,0.130,0.480,156.400
3.760,155.934,-25.697,178.600,-0.530,-0.016,-0.043,0.440,0.170,157.390
3.780,156.914,-25.833,177.920,0.590,0.031,-0.019,0.040,0.420,158.380
3.800,157.906,-25.970,179.840,1.240,0.060,0.254,0.530,-0.400,159.380
3.820,158.910,-26.107,182.110,0.020,-0.007,0.251,-0.260,-0.410,160.390
3.840,159.910,-26.244,181.470,0.310,-0.023,-0.061,0.700,-0.040,161.400
3.860,160.900,-26.380,179.600,1.700,0.000,-0.003,1.150,0.150,162.400
3.880,161.904,-26.517,182.040,0.240,0.030,0.225,-0.180,0.540,163.410
3.900,162.911,-26.654,182.680,2.600,-0.072,0.296,-0.220,0.210,164.420
3.920,163.909,-26.790,181.090,0.570,-0.115,-0.035,0.730,-0.070,165.430
3.940,164.918,-26.927,182.970,-1.760,-0.028,0.208,0.790,-0.310,166.450
3.960,165.927,-27.064,183.140,0.750,-0.061,0.261,-0.260,0.370,167.460
3.980,166.929,-27.200,181.660,0.380,-0.025,-0.113,-0.210,-0.290,168.470
4.000,167.945,-27.337,184.230,1.290,-0.007,0.269,-0.140,0.490,169.500
4.020,168.964,-27.474,184.850,0.670,-0.023,0.277,-0.670,-0.090,170.520
4.040,169.989,-27.610,185.960,-0.140,0.073,0.232,-0.460,0.480,171.560
4.060,171.016,-27.747,186.230,-1.220,0.016,0.254,-0.500,0.200,172.590
4.080,172.024,-27.884,182.900,-0.210,0.015,0.009,-0.380,-0.040,173.610
4.100,173.038,-28.020,183.880,-0.850,0.031,0.235,-0.020,-0.160,174.630
4.120,174.066,-28.157,186.380,-0.580,-0.057,0.218,0.120,-0.100,175.670
4.140,175.095,-28.294,186.690,0.590,0.052,0.294,0.780,0.130,176.700
4.160,176.126,-28.431,187.010,1.670,-0.004,0.309,-0.500,0.020,177.740
4.180,177.187,-28.567,192.340,0.390,0.034,0.250,0.490,-0.180,178.810
4.200,178.222,-28.704,187.740,-1.200,-0.054,-0.020,-0.110,-0.050,179.850
4.220,179.264,-28.841,188.900,0.440,-0.078,0.290,-0.020,0.020,180.900
4.240,180.306,-28.977,188.950,1.200,0.041,0.228,0.340,-0.640,181.950
4.260,181.347,-29.114,188.810,-0.610,0.019,-0.065,-0.560,0.140,183.000
4.280,182.382,-29.251,187.680,-0.130,-0.045,-0.013,0.190,-0.290,184.040
4.300,183.428,-29.387,189.610,0.010,-0.043,0.301,0.080,-0.350,185.100
4.320,184.462,-29.524,187.630,-0.780,0.056,-0.033,0.250,-0.510,186.140
4.340,185.503,-29.661,188.750,0.650,-0.059,0.224,0.140,-0.540,187.190
4.360,186.544,-29.797,188.700,-0.120,0.082,0.010,1.230,-0.410,188.240
4.380,187.591,-29.934,189.870,0.420,-0.045,0.234,-0.320,-0.210,189.290
4.400,188.658,-30.071,193.540,-0.890,0.032,0.240,-0.270,0.590,190.370
4.420,189.693,-30.207,187.580,-0.440,-0.016,-0.040,-0.310,-0.160,191.410
4.440,190.750,-30.344,191.730,0.720,0.030,0.297,-0.280,0.050,192.470
4.460,191.790,-30.481,188.600,-0.370,-0.027,-0.024,-0.320,0.120,193.520
4.480,192.841,-30.617,190.630,1.730,-0.008,0.262,0.590,0.040,194.580
4.500,193.907,-30.754,193.290,-0.400,0.002,0.264,0.710,-0.020,195.650
4.520,194.967,-30.891,192.070,0.220,-0.050,-0.049,-0.290,-0.360,196.720
4.540,196.018,-31.028,190.680,0.930,0.037,-0.033,-0.420,0.440,197.780
4.560,197.075,-31.164,191.540,-1.420,-0.026,0.174,0.240,0.540,198.850
4.580,198.144,-31.301,193.950,-1.760,-0.011,0.241,-0.280,-0.500,199.920
4.600,199.204,-31.438,192.150,-1.530,-0.050,-0.043,0.320,-0.310,200.990
4.620,200.274,-31.574,193.890,1.260,-0.128,0.215,0.100,-0.080,202.070
4.640,201.343,-31.711,193.950,-0.550,-0.010,0.262,-0.760,-0.290,203.140
4.660,202.409,-31.848,193.230,2.560,0.121,-0.056,0.770,0.150,204.220
4.680,203.500,-31.984,197.740,-0.560,0.039,0.303,0.900,-0.220,205.320
4.700,204.580,-32.121,195.790,0.180,-0.001,-0.003,-0.310,0.650,206.400
4.720,205.639,-32.258,192.120,1.540,-0.013,-0.064,-0.190,0.360,207.470
4.740,206.719,-32.394,195.760,2.010,0.001,0.245,0.140,0.060,208.560
4.760,207.794,-32.531,194.800,2.060,0.027,-0.052,0.170,0.310,209.640
4.780,208.882,-32.668,197.390,1.210,-0.059,0.236,0.330,0.330,210.740
4.800,209.959,-32.804,195.240,1.020,0.056,-0.044,1.010,-0.170,211.820
4.820,211.044,-32.941,196.580,0.590,0.036,0.227,-0.090,-0.240,212.920
4.840,212.135,-33.078,197.830,0.780,0.036,0.216,-0.400,0.020,214.010
4.860,213.231,-33.214,198.690,-0.550,0.022,0.269,-0.690,0.260,215.120
4.880,214.312,-33.351,195.910,-0.820,0.001,-0.031,-0.370,0.040,216.210
4.900,215.401,-33.488,197.520,-0.000,0.034,0.226,-0.020,-0.470,217.300
4.920,216.491,-33.625,197.630,-0.170,0.030,0.277,0.900,-0.240,218.400
4.940,217.582,-33.761,197.680,-0.450,-0.018,0.231,-0.260,-0.020,219.500
4.960,218.694,-33.898,201.630,0.700,-0.029,0.258,0.110,-0.020,220.620
4.980,219.797,-34.035,199.910,0.960,0.005,-0.025,-0.010,0.590,221.730
5.000,220.888,-34.171,197.730,0.090,0.077,-0.051,0.590,-0.420,222.830
5.020,221.998,-34.308,201.310,1.480,-0.062,0.264,1.260,0.150,223.950
5.040,223.121,-34.445,203.440,-1.140,-0.073,0.235,-0.270,0.450,225.080
5.060,224.236,-34.581,202.120,-0.190,0.008,-0.056,-0.240,0.680,226.200
5.080,225.332,-34.718,198.610,-0.720,0.003,-0.056,0.520,-0.120,227.300
5.100,226.438,-34.855,200.480,-1.870,0.009,0.228,0.340,0.150,228.420
5.120,227.560,-34.991,203.430,-0.080,0.012,0.245,0.920,0.170,229.550
5.140,228.668,-35.128,200.790,-0.120,-0.011,-0.096,0.290,0.060,230.660
5.160,229.787,-35.265,202.830,1.510,0.074,0.235,-0.180,-0.030,231.790
5.180,230.911,-35.401,203.650,0.630,-0.080,0.241,0.300,0.130,232.920
5.200,232.022,-35.538,201.410,-1.020,-0.041,-0.058,0.550,-0.760,234.040
5.220,233.142,-35.675,203.030,1.850,-0.005,0.243,0.410,0.200,235.170
5.240,234.237,-35.812,198.580,1.220,-0.082,-0.052,0.250,0.040,236.270
5.260,235.353,-35.948,202.220,0.580,-0.009,0.264,0.530,-0.070,237.400
5.280,236.477,-36.085,203.700,-0.230,0.083,0.276,0.580,0.610,238.530
5.300,237.594,-36.222,202.520,-0.960,0.001,-0.069,0.690,-0.200,239.650
5.320,238.737,-36.358,207.160,-0.370,0.012,0.214,0.320,-0.120,240.800
5.340,239.857,-36.495,202.890,1.090,-0.063,-0.081,-0.080,0.600,241.930
5.360,240.986,-36.632,204.690,1.880,-0.031,0.235,0.070,-0.250,243.070
5.380,242.122,-36.768,205.860,1.540,-0.019,0.239,0.600,-0.170,244.210
5.400,243.271,-36.905,208.150,-0.490,-0.016,0.227,-0.410,-0.040,245.370
5.420,244.397,-37.042,204.150,-1.120,0.064,-0.089,0.180,0.250,246.500
5.440,245.547,-37.178,208.370,0.140,0.028,0.236,-0.200,0.060,247.660
5.460,246.689,-37.315,206.960,-1.770,-0.056,-0.045,0.010,-0.390,248.810
5.480,247.825,-37.452,205.790,0.320,0.012,-0.032,0.640,-0.160,249.950
5.500,248.974,-37.588,208.270,-0.150,0.025,0.233,0.100,-0.180,251.110
5.520,250.123,-37.725,208.200,-0.470,0.057,-0.062,0.020,-0.020,252.270
5.540,251.267,-37.862,207.320,-1.590,0.079,-0.078,-0.680,0.130,253.420
5.560,252.418,-37.998,208.640,0.510,-0.051,0.249,0.370,0.130,254.580
5.580,253.567,-38.135,208.280,-0.530,-0.041,-0.075,0.320,-0.530,255.730
5.600,254.723,-38.272,209.340,-1.170,-0.063,0.267,1.080,0.320,256.900
5.620,255.884,-38.409,210.480,-2.870,-0.012,0.196,-0.150,0.080,258.070
5.640,257.055,-38.545,212.190,-0.030,0.023,0.239,0.110,0.420,259.240
5.660,258.205,-38.682,208.270,1.770,0.049,-0.041,0.120,0.130,260.400
5.680,259.384,-38.819,213.650,1.660,-0.004,0.256,0.790,0.330,261.590
5.700,260.531,-38.955,207.840,-0.460,-0.016,0.031,-0.050,0.140,262.740
5.720,261.694,-39.092,210.860,-0.600,0.008,0.260,0.140,0.400,263.920
5.740,262.866,-39.229,212.280,0.470,-0.042,0.220,0.300,0.160,265.090
5.760,264.037,-39.365,212.140,-1.000,0.104,-0.053,0.090,-0.030,266.270
5.780,265.202,-39.502,211.100,0.300,-0.080,-0.103,-0.220,0.680,267.450
5.800,266.372,-39.639,212.040,0.770,0.009,0.248,0.100,0.270,268.620
5.820,267.542,-39.775,211.940,1.230,0.101,-0.075,0.540,0.170,269.800
5.840,268.712,-39.912,212.110,-0.100,0.000,0.277,-0.510,-0.380,270.980
5.860,269.897,-40.049,214.590,-0.200,-0.010,0.234,0.070,-0.390,272.170
5.880,271.079,-40.185,214.170,-0.880,-0.018,-0.054,-0.350,0.090,273.360
5.900,272.254,-40.322,212.910,-0.830,-0.009,-0.069,0.600,0.040,274.540
5.920,273.444,-40.459,215.620,-0.230,0.069,0.302,-0.760,-0.180,275.740
5.940,274.631,-40.595,215.050,0.370,-0.111,-0.060,-0.280,0.040,276.940
5.960,275.824,-40.732,216.120,0.910,0.077,0.305,0.190,0.480,278.140
5.980,277.017,-40.869,216.170,-0.800,-0.071,0.274,0.780,0.210,279.340
6.000,278.200,-41.006,214.300,1.490,-0.013,-0.036,-0.030,-0.340,280.530
6.020,279.386,-41.142,215.020,-0.270,-0.021,0.261,-0.280,-0.030,281.720
6.040,280.586,-41.279,217.300,-0.020,0.029,0.262,0.940,-0.240,282.930
6.060,281.786,-41.416,217.410,-0.750,-0.080,0.192,-0.720,-0.120,284.140
6.080,282.983,-41.552,216.780,-2.420,0.023,-0.058,-1.100,-0.120,285.340
6.100,284.182,-41.689,217.310,0.880,0.101,0.275,0.220,-0.140,286.550
6.120,285.393,-41.826,219.370,0.740,-0.068,0.249,-0.250,-0.380,287.770
6.140,286.590,-41.962,216.880,-0.280,0.009,-0.092,-0.510,-0.040,288.970
6.160,287.799,-42.099,218.910,0.070,-0.033,0.248,0.350,-0.170,290.190
6.180,289.002,-42.236,218.100,0.520,0.021,0.001,0.120,-0.880,291.400
6.200,290.208,-42.372,218.400,-1.560,0.001,0.287,-0.280,0.620,292.620
6.220,291.426,-42.509,220.690,-0.530,-0.032,0.248,-0.640,0.330,293.840
6.240,292.644,-42.646,220.600,0.790,0.024,-0.021,0.440,-0.110,295.070
6.260,293.864,-42.782,220.900,-1.250,0.090,0.239,0.330,0.010,296.290
6.280,295.089,-42.919,221.960,0.290,-0.010,0.199,-0.050,-0.350,297.530
6.300,296.305,-43.056,220.350,-1.360,0.036,-0.078,0.920,0.510,298.750
6.320,297.529,-43.192,221.660,0.470,-0.065,0.297,-0.540,0.570,299.980
6.340,298.746,-43.329,220.490,-0.040,-0.048,-0.058,-0.760,0.050,301.210
6.360,299.970,-43.466,221.760,-1.620,0.024,0.243,-0.350,0.310,302.440
6.380,301.193,-43.603,221.400,1.160,0.074,-0.059,-0.020,0.050,303.670
6.400,302.419,-43.739,222.060,-0.730,0.018,0.307,0.120,-0.400,304.900
